Make,Model,Year,Fuel Type,Transmission,Customer ID,Customer Location,Customer Age,Customer Gender,Sale Price,Discount,Taxes,Final Price,Payment Method,Registration Number,Registration Date,Expiry Date,Dealer Name,Dealer Location,Ownership Status,Warranty Period,Loan Status,Insurance Provider
Ford,Escape,2022,Petrol,Automatic,CUST9177,New York,50,Other,16478.28,3403.65,1318.26,14392.89,Bank Transfer,REG-36931,10-06-2022,06-01-2025,AutoNation,Denver,New,1 years,Pending,Allstate
Kia,Sorento,2018,Electric,Automatic,CUST3264,San Francisco,18,Female,14478.49,3172.03,1158.28,12464.74,Bank Transfer,REG-30390,25-05-2021,05-03-2026,Local Dealer,San Francisco,New,3 years,Rejected,Progressive
Mercedes,GLC,2016,Petrol,Automatic,CUST8843,San Francisco,59,Female,29384.91,3136.66,2350.79,28599.04,Credit Card,REG-59010,02-08-2024,12-06-2027,DriveTime,Boston,New,2 years,Rejected,Allstate
Nissan,Altima,2019,Hybrid,Automatic,CUST2538,Denver,26,Female,45311.9,4037.18,3624.95,44899.67,Cash,REG-51055,07-06-2023,29-12-2026,Local Dealer,Boston,New,3 years,Rejected,Allstate
Ford,Escape,2023,Diesel,Automatic,CUST9021,Los Angeles,48,Female,66480.08,2457.35,5318.41,69341.14,Financed Loan,REG-75363,26-06-2024,24-08-2025,TrueCar,San Francisco,New,2 years,Approved,State Farm
BMW,X3,2019,Electric,Automatic,CUST4763,Denver,53,Female,51558.58,365.27,4124.69,55318,Credit Card,REG-74625,21-08-2022,10-11-2025,DriveTime,Dallas,New,1 years,Pending,Geico
BMW,3 Series,2016,Hybrid,Automatic,CUST6959,Denver,52,Female,28368.71,175.7,2269.5,30462.51,Financed Loan,REG-10985,15-01-2024,29-08-2028,DriveTime,Seattle,New,4 years,Approved,Geico
Mercedes,E-Class,2022,Hybrid,Manual,CUST7049,New York,53,Other,61502.92,560.94,4920.23,65862.21,Financed Loan,REG-28584,19-06-2024,27-07-2025,DriveTime,Seattle,Used,No Warranty,Approved,Allstate
Toyota,Corolla,2016,Hybrid,Automatic,CUST7404,Miami,64,Female,55198.7,3454.9,4415.9,56159.7,Bank Transfer,REG-75407,13-06-2022,24-01-2024,DriveTime,Houston,Used,No Warranty,Pending,Geico
Chevrolet,Traverse,2020,Petrol,Manual,CUST6802,Miami,59,Female,15195.41,4467.76,1215.63,11943.28,Financed Loan,REG-95574,01-04-2020,28-03-2025,AutoNation,Miami,Used,No Warranty,Pending,Allstate
Hyundai,Sonata,2021,Diesel,Manual,CUST2913,Boston,34,Female,40339.11,693.53,3227.13,42872.71,Bank Transfer,REG-83629,26-10-2020,05-01-2025,DriveTime,Boston,Used,No Warranty,Pending,State Farm
Chevrolet,Malibu,2018,Petrol,Manual,CUST8820,San Francisco,51,Other,42657.17,1128.55,3412.57,44941.19,Financed Loan,REG-24847,28-06-2020,07-05-2024,DriveTime,Miami,New,2 years,Approved,Allstate
BMW,X5,2017,Petrol,Automatic,CUST3868,Dallas,42,Other,41655.62,0.55,3332.45,44987.52,Credit Card,REG-89505,25-04-2022,23-05-2025,CarMax,Los Angeles,Used,No Warranty,Pending,Geico
Mercedes,C-Class,2018,Petrol,Automatic,CUST7766,Dallas,44,Other,9689.32,3476.52,775.15,6987.95,Credit Card,REG-97407,30-07-2024,26-07-2027,Vroom,Houston,Used,No Warranty,Pending,Progressive
Audi,Q5,2022,Electric,Automatic,CUST3275,Houston,23,Female,76569.99,1347.92,6125.6,81347.67,Credit Card,REG-75356,23-10-2022,19-12-2025,AutoNation,Miami,New,5 years,Approved,State Farm
Toyota,Corolla,2015,Diesel,Automatic,CUST6994,Los Angeles,18,Other,54707.32,2190.85,4376.59,56893.06,Cash,REG-76958,08-08-2023,31-12-2025,DriveTime,Denver,New,5 years,Approved,Liberty Mutual
Honda,Pilot,2020,Electric,Manual,CUST4800,San Francisco,48,Male,25872.16,844.23,2069.77,27097.7,Credit Card,REG-15076,05-12-2023,29-10-2025,DriveTime,New York,New,4 years,Rejected,Liberty Mutual
Hyundai,Sonata,2020,Diesel,Manual,CUST6275,New York,46,Female,50445.57,2861.24,4035.65,51619.98,Cash,REG-60112,05-04-2022,04-12-2025,Local Dealer,Chicago,Used,No Warranty,Approved,Geico
Chevrolet,Tahoe,2024,Petrol,Manual,CUST6012,Chicago,24,Male,56427.94,2851.37,4514.24,58090.81,Cash,REG-83180,26-01-2022,10-09-2024,Local Dealer,Boston,New,2 years,Rejected,Progressive
Honda,CR-V,2019,Petrol,Manual,CUST7581,Miami,69,Other,59508.26,165.39,4760.66,64103.53,Cash,REG-11546,01-06-2023,19-09-2027,AutoNation,Seattle,New,1 years,Rejected,Progressive
Hyundai,Santa Fe,2015,Petrol,Manual,CUST5655,Los Angeles,59,Male,61434.67,4668.19,4914.77,61681.25,Bank Transfer,REG-18273,13-09-2021,11-03-2023,AutoNation,Los Angeles,Used,No Warranty,Rejected,Geico
Toyota,Camry,2019,Electric,Automatic,CUST3628,Seattle,41,Male,54466.5,3909.45,4357.32,54914.37,Credit Card,REG-45768,01-06-2022,09-05-2026,AutoNation,Seattle,Used,No Warranty,Approved,Liberty Mutual
Audi,Q5,2015,Diesel,Manual,CUST7647,New York,22,Other,30038.56,3239.76,2403.08,29201.88,Bank Transfer,REG-68681,28-04-2020,02-10-2022,Local Dealer,Boston,New,2 years,Approved,Allstate
Hyundai,Sonata,2023,Hybrid,Manual,CUST3357,Chicago,62,Male,75699,2276.17,6055.92,79478.75,Bank Transfer,REG-63104,26-10-2021,05-05-2024,Vroom,Denver,New,5 years,Rejected,Allstate
Kia,Seltos,2016,Hybrid,Automatic,CUST8610,Los Angeles,59,Female,67529.08,770.74,5402.33,72160.67,Credit Card,REG-58733,25-10-2024,25-08-2028,Vroom,Los Angeles,New,2 years,Rejected,Liberty Mutual
Hyundai,Santa Fe,2015,Electric,Automatic,CUST8161,Seattle,66,Male,52033.6,4598.71,4162.69,51597.58,Financed Loan,REG-49759,26-08-2024,28-12-2025,TrueCar,Dallas,Used,No Warranty,Pending,Geico
Mercedes,GLC,2017,Petrol,Manual,CUST8192,Dallas,70,Male,69302.35,2874.01,5544.19,71972.53,Credit Card,REG-70827,08-09-2021,27-08-2023,DriveTime,Miami,Used,No Warranty,Rejected,State Farm
Nissan,Rogue,2024,Hybrid,Manual,CUST9693,Houston,26,Female,48238.53,1432.5,3859.08,50665.11,Cash,REG-71284,19-07-2023,30-12-2024,CarMax,Houston,New,1 years,Approved,Geico
Kia,Sorento,2015,Hybrid,Automatic,CUST8572,Denver,34,Other,18159.61,467.31,1452.77,19145.07,Bank Transfer,REG-63842,03-07-2022,07-08-2024,DriveTime,Boston,Used,No Warranty,Rejected,State Farm
Kia,Sorento,2017,Diesel,Manual,CUST5199,San Francisco,69,Female,42139.62,4035.29,3371.17,41475.5,Credit Card,REG-58034,07-10-2021,01-06-2023,Local Dealer,Houston,New,2 years,Approved,Geico
Kia,Seltos,2015,Hybrid,Automatic,CUST2425,Houston,41,Female,23057.02,949.85,1844.56,23951.73,Credit Card,REG-96947,17-09-2021,11-11-2023,Vroom,Miami,Used,No Warranty,Rejected,State Farm
Toyota,Rav4,2024,Diesel,Automatic,CUST8169,Houston,63,Female,18354.87,2214.01,1468.39,17609.25,Credit Card,REG-64028,05-05-2020,18-04-2025,AutoNation,Los Angeles,Used,No Warranty,Approved,Geico
Mercedes,E-Class,2017,Hybrid,Automatic,CUST4129,New York,60,Other,57912.73,2231.33,4633.02,60314.42,Credit Card,REG-40458,26-10-2020,30-06-2024,TrueCar,Boston,Used,No Warranty,Approved,Liberty Mutual
Chevrolet,Malibu,2016,Electric,Manual,CUST8924,Boston,49,Other,74628.48,4794.29,5970.28,75804.47,Cash,REG-66102,05-01-2023,26-06-2027,CarMax,New York,Used,No Warranty,Pending,Progressive
Mercedes,E-Class,2018,Electric,Manual,CUST2528,Miami,63,Other,5469.82,4540.82,437.59,1366.59,Credit Card,REG-38826,29-04-2023,16-05-2026,AutoNation,Dallas,Used,No Warranty,Pending,Liberty Mutual
BMW,X5,2023,Electric,Automatic,CUST6421,New York,67,Other,33593.99,4171.58,2687.52,32109.93,Bank Transfer,REG-80955,03-04-2024,21-04-2027,Local Dealer,Los Angeles,New,1 years,Rejected,Liberty Mutual
Toyota,Corolla,2019,Diesel,Manual,CUST3396,Seattle,45,Male,36880.6,332.46,2950.45,39498.59,Financed Loan,REG-75007,03-01-2022,04-12-2026,AutoNation,New York,New,2 years,Pending,Geico
Ford,Fusion,2015,Hybrid,Automatic,CUST7727,Boston,41,Other,55671.53,3468.7,4453.72,56656.55,Credit Card,REG-96909,05-05-2023,01-07-2026,DriveTime,Boston,Used,No Warranty,Approved,Geico
Audi,Q7,2018,Hybrid,Automatic,CUST2279,Chicago,70,Male,25100.56,497.3,2008.04,26611.3,Bank Transfer,REG-85849,07-11-2024,12-04-2028,AutoNation,Chicago,New,4 years,Rejected,Progressive
Audi,Q7,2021,Hybrid,Manual,CUST7387,Seattle,23,Male,61138.55,1436.84,4891.08,64592.79,Cash,REG-34073,20-07-2024,27-05-2026,Local Dealer,Seattle,New,3 years,Approved,Progressive
Ford,Fusion,2019,Diesel,Automatic,CUST7654,Boston,53,Male,24914.41,2407.33,1993.15,24500.23,Cash,REG-64339,21-07-2024,12-04-2027,CarMax,Chicago,Used,No Warranty,Approved,State Farm
BMW,X3,2015,Hybrid,Automatic,CUST1934,New York,66,Female,47383.6,1901.92,3790.69,49272.37,Credit Card,REG-63724,01-11-2021,17-07-2025,TrueCar,San Francisco,New,4 years,Rejected,Liberty Mutual
BMW,5 Series,2015,Petrol,Automatic,CUST2054,Miami,21,Other,18124.17,2839.73,1449.93,16734.37,Cash,REG-62287,06-10-2020,11-11-2022,TrueCar,Los Angeles,New,4 years,Rejected,Liberty Mutual
Chevrolet,Traverse,2024,Diesel,Manual,CUST6993,Seattle,27,Other,8770.79,4557.69,701.66,4914.76,Credit Card,REG-83383,26-12-2021,20-11-2025,CarMax,San Francisco,New,4 years,Pending,Allstate
Toyota,Corolla,2021,Petrol,Automatic,CUST3552,Boston,30,Male,48215.73,2796.34,3857.26,49276.65,Bank Transfer,REG-10170,12-04-2020,20-06-2022,AutoNation,Denver,Used,No Warranty,Pending,Liberty Mutual
Honda,CR-V,2017,Hybrid,Manual,CUST6124,Chicago,31,Other,57684.98,674.26,4614.8,61625.52,Financed Loan,REG-10195,11-08-2021,01-09-2025,CarMax,Miami,Used,No Warranty,Pending,Allstate
Kia,Seltos,2021,Diesel,Automatic,CUST5962,Boston,20,Female,31791.36,3547.44,2543.31,30787.23,Financed Loan,REG-50180,02-01-2024,15-12-2028,Local Dealer,Denver,New,4 years,Pending,State Farm
Toyota,Camry,2023,Hybrid,Manual,CUST5055,San Francisco,50,Other,78293.69,4527.18,6263.5,80030.01,Bank Transfer,REG-64525,01-04-2021,02-12-2022,Vroom,Seattle,New,4 years,Rejected,Allstate
Honda,CR-V,2024,Hybrid,Automatic,CUST1340,New York,36,Female,64623.26,4399.08,5169.86,65394.04,Bank Transfer,REG-84837,22-07-2021,19-02-2026,DriveTime,Dallas,New,3 years,Rejected,Geico
Honda,CR-V,2024,Hybrid,Automatic,CUST2826,New York,67,Other,40297.15,1249.81,3223.77,42271.11,Financed Loan,REG-11365,15-01-2023,17-11-2027,Local Dealer,Boston,Used,No Warranty,Pending,Allstate
Toyota,Corolla,2018,Diesel,Manual,CUST3264,San Francisco,48,Other,53706.05,785.46,4296.48,57217.07,Financed Loan,REG-46352,06-09-2020,27-10-2021,DriveTime,New York,New,5 years,Pending,State Farm
BMW,5 Series,2019,Hybrid,Manual,CUST1984,Boston,27,Male,7443.95,1286.28,595.52,6753.19,Credit Card,REG-90279,02-10-2021,02-08-2024,DriveTime,Chicago,Used,No Warranty,Rejected,Liberty Mutual
Mercedes,GLC,2017,Diesel,Automatic,CUST5374,Dallas,38,Male,44587.28,485.94,3566.98,47668.32,Cash,REG-94623,09-07-2024,25-09-2025,DriveTime,New York,New,3 years,Rejected,Allstate
Kia,Sportage,2015,Hybrid,Manual,CUST3074,Denver,21,Male,33383.46,4407.72,2670.68,31646.42,Credit Card,REG-93654,10-07-2022,15-01-2026,Local Dealer,San Francisco,Used,No Warranty,Approved,Allstate
Honda,Pilot,2019,Petrol,Automatic,CUST6465,Los Angeles,26,Female,71585.68,105.01,5726.85,77207.52,Financed Loan,REG-21755,05-11-2022,31-12-2026,TrueCar,Dallas,New,4 years,Rejected,Allstate
Kia,Soul,2015,Electric,Automatic,CUST6655,San Francisco,64,Female,5983.21,1258.24,478.66,5203.63,Credit Card,REG-18851,27-02-2023,04-02-2027,CarMax,Boston,New,5 years,Pending,Geico
Kia,Seltos,2023,Petrol,Automatic,CUST5797,Los Angeles,42,Other,13973.59,2136.51,1117.89,12954.97,Bank Transfer,REG-15850,09-09-2021,21-01-2026,AutoNation,Miami,New,4 years,Approved,Progressive
Mercedes,GLA,2016,Electric,Automatic,CUST4994,Dallas,54,Male,60045.03,1857,4803.6,62991.63,Cash,REG-16049,20-03-2024,11-11-2025,CarMax,Seattle,New,5 years,Pending,Liberty Mutual
Chevrolet,Traverse,2015,Hybrid,Manual,CUST4798,New York,60,Male,28394.16,1786.23,2271.53,28879.46,Cash,REG-20938,16-06-2022,25-09-2026,DriveTime,Dallas,Used,No Warranty,Rejected,Geico
Ford,Fusion,2018,Diesel,Manual,CUST9641,New York,21,Female,75142.47,2916.45,6011.4,78237.42,Bank Transfer,REG-51169,26-03-2020,02-07-2022,CarMax,Los Angeles,New,5 years,Rejected,Geico
Chevrolet,Equinox,2019,Petrol,Manual,CUST7539,San Francisco,20,Male,30576,155.47,2446.08,32866.61,Bank Transfer,REG-12014,24-02-2021,29-11-2022,Vroom,New York,Used,No Warranty,Pending,Geico
Ford,Explorer,2022,Petrol,Manual,CUST9125,Denver,65,Female,9726.51,1923.85,778.12,8580.78,Cash,REG-94217,14-04-2022,12-09-2026,DriveTime,Seattle,New,2 years,Rejected,State Farm
Mercedes,C-Class,2022,Diesel,Manual,CUST4899,Miami,67,Other,24006.09,858.24,1920.49,25068.34,Credit Card,REG-60834,07-01-2023,14-03-2027,Vroom,Miami,Used,No Warranty,Rejected,Allstate
Toyota,Highlander,2020,Hybrid,Automatic,CUST9251,Dallas,63,Male,47280.58,1042.79,3782.45,50020.24,Bank Transfer,REG-55441,01-09-2024,21-02-2027,AutoNation,Dallas,Used,No Warranty,Pending,State Farm
Kia,Seltos,2018,Hybrid,Manual,CUST9968,Boston,46,Male,15787.04,1351.25,1262.96,15698.75,Bank Transfer,REG-85779,07-05-2021,30-09-2023,DriveTime,Miami,New,4 years,Rejected,Liberty Mutual
Hyundai,Elantra,2023,Petrol,Manual,CUST1163,Seattle,38,Other,59660.46,4771.53,4772.84,59661.77,Cash,REG-30731,29-11-2021,28-07-2023,CarMax,Dallas,Used,No Warranty,Approved,State Farm
Chevrolet,Tahoe,2015,Hybrid,Manual,CUST8172,Chicago,54,Male,15699.19,4438.32,1255.94,12516.81,Credit Card,REG-99043,17-09-2024,31-10-2026,DriveTime,Miami,Used,No Warranty,Pending,State Farm
Hyundai,Tucson,2016,Electric,Automatic,CUST4196,Denver,34,Male,53781.13,73.22,4302.49,58010.4,Bank Transfer,REG-97275,30-12-2022,30-08-2025,Vroom,Los Angeles,New,1 years,Pending,Geico
Honda,Civic,2020,Electric,Automatic,CUST4819,Denver,31,Female,71183.9,2264.08,5694.71,74614.53,Financed Loan,REG-32266,27-09-2024,17-08-2028,CarMax,New York,New,3 years,Rejected,State Farm
Kia,Soul,2024,Diesel,Automatic,CUST6019,New York,22,Other,70288.4,636.13,5623.07,75275.34,Financed Loan,REG-90698,14-05-2020,22-04-2024,CarMax,San Francisco,New,2 years,Approved,Liberty Mutual
Ford,Focus,2017,Petrol,Automatic,CUST8391,Seattle,55,Other,7729.42,4209.74,618.35,4138.03,Cash,REG-52504,05-09-2020,15-07-2024,Vroom,Chicago,Used,No Warranty,Approved,Geico
Ford,Escape,2024,Electric,Automatic,CUST3966,Los Angeles,23,Female,63588.16,3614.01,5087.05,65061.2,Financed Loan,REG-94124,08-07-2022,28-05-2025,DriveTime,New York,New,5 years,Pending,Liberty Mutual
Nissan,Altima,2022,Diesel,Manual,CUST9542,Denver,52,Female,63740.18,84.8,5099.21,68754.59,Cash,REG-51729,15-08-2021,15-11-2023,Vroom,Los Angeles,Used,No Warranty,Approved,Progressive
Hyundai,Sonata,2021,Diesel,Manual,CUST5716,Miami,66,Female,9293.13,3174.8,743.45,6861.78,Credit Card,REG-33118,31-01-2025,27-08-2026,Vroom,Denver,New,4 years,Pending,Liberty Mutual
Nissan,Sentra,2023,Electric,Automatic,CUST8169,Seattle,57,Male,24640.33,2340.47,1971.23,24271.09,Financed Loan,REG-56921,05-03-2022,19-01-2026,Vroom,Miami,Used,No Warranty,Pending,State Farm
Ford,Escape,2022,Diesel,Manual,CUST4231,Boston,46,Other,41187.03,339.62,3294.96,44142.37,Bank Transfer,REG-81528,07-05-2024,16-12-2027,TrueCar,New York,Used,No Warranty,Rejected,Liberty Mutual
Ford,Focus,2018,Petrol,Automatic,CUST8398,Dallas,29,Female,73912.31,4445.23,5912.98,75380.06,Bank Transfer,REG-71193,27-01-2022,25-08-2023,TrueCar,Chicago,New,5 years,Rejected,Geico
Audi,A3,2018,Petrol,Manual,CUST2208,Dallas,52,Female,78507.73,2954.24,6280.62,81834.11,Bank Transfer,REG-83636,22-09-2022,03-12-2026,TrueCar,Seattle,Used,No Warranty,Pending,State Farm
Nissan,Murano,2020,Electric,Manual,CUST8992,Chicago,27,Female,41817.66,3364.47,3345.41,41798.6,Cash,REG-51872,26-01-2023,10-09-2025,TrueCar,Los Angeles,New,5 years,Rejected,Allstate
Kia,Sportage,2015,Electric,Manual,CUST2183,Seattle,57,Other,17537.24,1997.28,1402.98,16942.94,Bank Transfer,REG-54282,21-11-2020,27-09-2022,DriveTime,Los Angeles,New,3 years,Pending,Liberty Mutual
Ford,Explorer,2018,Diesel,Automatic,CUST8634,Houston,63,Female,41353.62,3600.56,3308.29,41061.35,Bank Transfer,REG-59403,01-10-2024,17-11-2025,Local Dealer,Boston,New,5 years,Pending,Progressive
Toyota,Camry,2021,Petrol,Manual,CUST7957,Denver,53,Male,29015.42,2069.06,2321.23,29267.59,Cash,REG-12173,28-05-2020,12-08-2023,CarMax,San Francisco,New,4 years,Pending,Allstate
Honda,Pilot,2018,Hybrid,Automatic,CUST3233,Seattle,19,Other,72699.32,1817.47,5815.95,76697.8,Financed Loan,REG-28495,30-06-2020,05-04-2023,Local Dealer,New York,New,3 years,Rejected,State Farm
BMW,X5,2021,Petrol,Manual,CUST8072,Boston,21,Other,37070.99,168.94,2965.68,39867.73,Bank Transfer,REG-12041,03-12-2024,31-05-2027,TrueCar,Houston,New,1 years,Approved,Progressive
Honda,Accord,2024,Diesel,Automatic,CUST3889,New York,50,Other,79143.67,1422.01,6331.49,84053.15,Credit Card,REG-31663,25-03-2024,14-05-2027,Local Dealer,Denver,New,4 years,Approved,Allstate
Ford,Escape,2019,Petrol,Manual,CUST5615,San Francisco,49,Female,25741.24,3804.95,2059.3,23995.59,Bank Transfer,REG-11514,10-05-2021,28-05-2022,DriveTime,Miami,New,2 years,Approved,Allstate
Ford,Fusion,2019,Hybrid,Manual,CUST6545,Los Angeles,41,Female,34030.51,2157.55,2722.44,34595.4,Financed Loan,REG-28690,06-04-2020,21-08-2022,DriveTime,Boston,Used,No Warranty,Rejected,Geico
Toyota,Highlander,2020,Hybrid,Manual,CUST5927,Los Angeles,58,Female,78545.8,2270.43,6283.66,82559.03,Cash,REG-35917,22-06-2023,08-11-2025,Local Dealer,Dallas,New,5 years,Rejected,Progressive
Ford,Escape,2019,Petrol,Manual,CUST6213,Miami,52,Other,77890.56,3354,6231.24,80767.8,Cash,REG-84475,12-06-2021,03-12-2025,Vroom,Dallas,Used,No Warranty,Rejected,Geico
Hyundai,Sonata,2019,Petrol,Manual,CUST4131,Dallas,63,Male,73243.25,4161.25,5859.46,74941.46,Cash,REG-58630,24-12-2024,03-07-2029,CarMax,Seattle,New,1 years,Rejected,Liberty Mutual
Hyundai,Santa Fe,2020,Hybrid,Automatic,CUST9394,Denver,59,Other,19141.26,4182.48,1531.3,16490.08,Cash,REG-94071,29-08-2024,29-08-2025,Vroom,New York,New,5 years,Pending,State Farm
Nissan,Sentra,2020,Hybrid,Manual,CUST4045,Los Angeles,18,Other,5373.2,3392.54,429.86,2410.52,Cash,REG-70071,03-06-2021,26-08-2025,Vroom,Denver,Used,No Warranty,Rejected,Progressive
Nissan,Rogue,2022,Electric,Automatic,CUST2941,Los Angeles,27,Male,20949.92,4889.86,1675.99,17736.05,Financed Loan,REG-23880,03-06-2023,18-03-2027,CarMax,San Francisco,New,3 years,Approved,Allstate
Chevrolet,Malibu,2024,Diesel,Manual,CUST5130,Boston,24,Other,70084.49,1407.05,5606.76,74284.2,Financed Loan,REG-34535,14-08-2023,26-08-2026,DriveTime,Houston,New,2 years,Pending,Allstate
Ford,Fusion,2016,Electric,Automatic,CUST1329,Dallas,52,Female,14753.1,43.45,1180.25,15889.9,Bank Transfer,REG-59070,10-04-2022,01-12-2025,Local Dealer,Seattle,New,5 years,Rejected,Progressive
Mercedes,GLC,2017,Diesel,Manual,CUST2124,New York,66,Other,10811.61,4614.12,864.93,7062.42,Financed Loan,REG-91709,15-08-2024,02-12-2025,CarMax,Houston,Used,No Warranty,Approved,State Farm
Mercedes,GLA,2018,Petrol,Automatic,CUST4854,San Francisco,70,Female,19426.44,4388.8,1554.12,16591.76,Credit Card,REG-16668,21-05-2021,08-07-2023,Vroom,New York,New,2 years,Pending,State Farm
Ford,Fusion,2019,Petrol,Automatic,CUST8683,Los Angeles,32,Female,36038.55,4659.85,2883.08,34261.78,Credit Card,REG-56378,22-06-2024,06-12-2026,Local Dealer,Miami,New,1 years,Rejected,Allstate
Toyota,Camry,2023,Hybrid,Automatic,CUST7078,Chicago,47,Other,12377.03,3178.68,990.16,10188.51,Bank Transfer,REG-27914,15-07-2020,23-08-2021,TrueCar,Houston,Used,No Warranty,Rejected,State Farm
Nissan,Murano,2016,Petrol,Automatic,CUST4499,Los Angeles,67,Female,63222.52,12.06,5057.8,68268.26,Credit Card,REG-68400,03-07-2022,08-06-2024,Vroom,Boston,New,5 years,Rejected,Liberty Mutual
Ford,Escape,2019,Hybrid,Manual,CUST1103,Denver,66,Other,28936.28,3661.5,2314.9,27589.68,Credit Card,REG-37373,12-09-2023,30-06-2027,CarMax,Chicago,New,1 years,Rejected,State Farm
Mercedes,GLA,2019,Petrol,Manual,CUST5902,Seattle,54,Male,39107.41,1777.04,3128.59,40458.96,Credit Card,REG-90297,10-03-2023,13-05-2026,TrueCar,Houston,Used,No Warranty,Pending,Geico
Audi,Q5,2019,Electric,Automatic,CUST9749,Chicago,61,Male,33221.29,1848.99,2657.7,34030,Bank Transfer,REG-64461,09-06-2020,20-10-2024,Vroom,Seattle,New,4 years,Pending,Geico
Honda,CR-V,2023,Diesel,Manual,CUST2191,Denver,24,Female,16879.13,4641.6,1350.33,13587.86,Bank Transfer,REG-69013,14-09-2022,15-10-2024,AutoNation,New York,New,5 years,Approved,Liberty Mutual
Kia,Seltos,2017,Diesel,Manual,CUST2551,Houston,34,Other,55344.08,3982.97,4427.53,55788.64,Credit Card,REG-93125,20-12-2023,07-06-2027,CarMax,Dallas,Used,No Warranty,Rejected,Liberty Mutual
Chevrolet,Equinox,2021,Electric,Manual,CUST9460,Houston,25,Other,9243.32,3666,739.47,6316.79,Cash,REG-37830,17-06-2022,08-05-2026,Local Dealer,San Francisco,Used,No Warranty,Rejected,State Farm
Honda,Pilot,2019,Diesel,Manual,CUST7815,Denver,34,Male,60315.64,2569.09,4825.25,62571.8,Credit Card,REG-21822,24-01-2024,17-03-2026,CarMax,New York,New,3 years,Pending,Allstate
Hyundai,Elantra,2020,Petrol,Automatic,CUST6684,Los Angeles,67,Other,63765.17,3015.43,5101.21,65850.95,Financed Loan,REG-22209,29-09-2022,23-04-2026,AutoNation,San Francisco,New,2 years,Pending,Allstate
Honda,CR-V,2023,Diesel,Manual,CUST3289,Boston,26,Other,78999.78,4495.03,6319.98,80824.73,Financed Loan,REG-21960,14-09-2023,23-08-2025,Vroom,Seattle,New,5 years,Pending,Progressive
Audi,A3,2018,Electric,Manual,CUST1092,New York,23,Male,72965.81,320.37,5837.26,78482.7,Cash,REG-56990,11-02-2022,03-12-2023,AutoNation,Miami,Used,No Warranty,Pending,Progressive
Ford,Explorer,2020,Petrol,Manual,CUST6066,Los Angeles,50,Other,63659.95,1062.31,5092.8,67690.44,Financed Loan,REG-92285,12-01-2024,11-10-2025,TrueCar,Miami,Used,No Warranty,Pending,Liberty Mutual
Toyota,Camry,2020,Hybrid,Automatic,CUST3065,Denver,70,Male,67297.06,1426.47,5383.76,71254.35,Credit Card,REG-13403,15-01-2021,17-07-2024,AutoNation,Los Angeles,Used,No Warranty,Pending,Liberty Mutual
Hyundai,Santa Fe,2017,Diesel,Manual,CUST8288,Los Angeles,66,Female,78092.98,3143.86,6247.44,81196.56,Credit Card,REG-17203,06-10-2022,09-02-2024,TrueCar,Chicago,New,5 years,Rejected,Allstate
Honda,Accord,2015,Hybrid,Automatic,CUST9416,Boston,50,Female,49921.71,4130.55,3993.74,49784.9,Cash,REG-35483,21-08-2022,20-08-2024,DriveTime,Denver,Used,No Warranty,Approved,Allstate
BMW,3 Series,2020,Electric,Automatic,CUST4505,Los Angeles,59,Other,79638.85,299.04,6371.11,85710.92,Financed Loan,REG-56465,10-05-2020,28-08-2021,Vroom,Houston,New,5 years,Approved,Liberty Mutual
Hyundai,Tucson,2024,Petrol,Manual,CUST8960,Dallas,65,Male,63666.16,3657.69,5093.29,65101.76,Cash,REG-41973,05-09-2023,12-05-2025,DriveTime,Los Angeles,Used,No Warranty,Approved,Progressive
Hyundai,Sonata,2017,Hybrid,Manual,CUST3546,Dallas,26,Male,25011.26,1425.47,2000.9,25586.69,Credit Card,REG-89633,01-07-2024,31-07-2028,CarMax,Dallas,New,2 years,Approved,Allstate
Kia,Soul,2018,Petrol,Automatic,CUST6584,Chicago,37,Other,30662.2,2424.66,2452.98,30690.52,Cash,REG-57236,01-04-2020,13-11-2021,CarMax,Denver,New,1 years,Approved,State Farm
Kia,Seltos,2023,Hybrid,Automatic,CUST9782,Seattle,37,Other,59010.39,3197.75,4720.83,60533.47,Financed Loan,REG-35438,12-03-2024,12-07-2025,CarMax,Miami,Used,No Warranty,Rejected,Allstate
BMW,5 Series,2024,Diesel,Manual,CUST7952,Denver,68,Male,9685.46,205.43,774.84,10254.87,Credit Card,REG-57996,16-10-2022,09-04-2024,TrueCar,San Francisco,New,4 years,Approved,State Farm
Mercedes,GLA,2018,Petrol,Manual,CUST2549,Dallas,37,Male,72217.03,822.92,5777.36,77171.47,Cash,REG-65291,17-08-2020,31-03-2025,DriveTime,Dallas,Used,No Warranty,Approved,Liberty Mutual
Audi,Q7,2019,Petrol,Automatic,CUST3960,Los Angeles,66,Female,31654.31,2636.78,2532.34,31549.87,Bank Transfer,REG-86094,10-03-2023,03-04-2026,Local Dealer,Miami,New,5 years,Approved,Allstate
Mercedes,E-Class,2017,Petrol,Manual,CUST8529,New York,66,Female,63227.12,2606.43,5058.17,65678.86,Cash,REG-59575,23-07-2021,20-11-2025,CarMax,Seattle,New,1 years,Pending,Allstate
Kia,Sorento,2021,Hybrid,Manual,CUST8378,New York,65,Other,33362.71,1177.97,2669.02,34853.76,Credit Card,REG-59377,30-08-2020,23-12-2022,TrueCar,Dallas,Used,No Warranty,Pending,Liberty Mutual
